Order_ID,Customer_ID,City,Category,Payment_Mode,Order_Date,Scheduled_Delivery_Days,Actual_Delivery_Days,Delivery_Date,Order_Value,Discount_Applied,Discount_Amount,Final_Amount,Returned,Return_Reason,Delay
1,4174,Seattle,Home Appliances,UPI,2022-10-13,6,6,2022-10-19,464.69,0.08,37.18,427.51,1,Size Issue,0
2,4507,Los Angeles,Toys,Net Banking,2022-07-24,6,5,2022-07-29,172.56,0.12,20.71,151.85,0,Not Returned,-1
3,1860,Seattle,Beauty,COD,2022-11-24,4,5,2022-11-29,63.46,0.11,6.98,56.48,0,Not Returned,1
4,2294,Phoenix,Books,Net Banking,2022-07-02,8,9,2022-07-11,405.08,0.2,81.02,324.06,0,Not Returned,1
5,2130,Los Angeles,Clothing,UPI,2022-01-11,9,7,2022-01-18,406.15,0.03,12.18,393.97,0,Not Returned,-2
6,2095,Boston,Clothing,Net Banking,2022-11-27,8,9,2022-12-06,317.04,0.06,19.02,298.02,0,Not Returned,1
7,4772,Los Angeles,Clothing,COD,2022-02-17,1,1,2022-02-18,298.19,0.06,17.89,280.3,0,Not Returned,0
8,4092,San Francisco,Beauty,COD,2022-09-20,1,2,2022-09-22,459.16,0.03,13.77,445.39,0,Not Returned,1
9,2638,Dallas,Toys,UPI,2022-09-14,5,5,2022-09-19,104.72,0.06,6.28,98.44,0,Not Returned,0
10,3169,Chicago,Home Appliances,COD,2022-03-28,6,7,2022-04-04,315.94,0.18,56.87,259.07,0,Not Returned,1
11,1466,Miami,Clothing,Net Banking,2022-02-01,9,8,2022-02-09,43.89,0.22,9.66,34.23,0,Not Returned,-1
12,2238,Chicago,Electronics,Debit Card,2022-11-14,8,7,2022-11-21,87.62,0.2,17.52,70.1,0,Not Returned,-1
13,1330,Chicago,Clothing,COD,2022-05-23,9,9,2022-06-01,229.89,0.14,32.18,197.71,0,Not Returned,0
14,2482,Phoenix,Toys,Net Banking,2022-04-02,3,3,2022-04-05,414.18,0.02,8.28,405.9,0,Not Returned,0
15,3135,Boston,Sports,Net Banking,2022-07-08,5,5,2022-07-13,371.9,0.29,107.85,264.05,0,Not Returned,0
16,4444,Seattle,Beauty,Net Banking,2022-03-19,6,6,2022-03-25,487.55,0.05,24.38,463.17,1,Wrong Item,0
17,4171,Boston,Sports,COD,2022-11-29,9,7,2022-12-06,41.53,0.2,8.31,33.22,0,Not Returned,-2
18,3919,Miami,Clothing,Debit Card,2022-02-03,7,7,2022-02-10,203.05,0.27,54.82,148.23,0,Not Returned,0
19,4735,Phoenix,Toys,UPI,2022-05-28,6,4,2022-06-01,96.22,0.21,20.21,76.01,0,Not Returned,-2
20,1130,Dallas,Clothing,UPI,2022-04-28,1,1,2022-04-29,37.74,0.07,2.64,35.1,0,Not Returned,0
21,2685,Chicago,Sports,COD,2022-01-24,8,8,2022-02-01,146.91,0.09,13.22,133.69,1,Wrong Item,0
22,4380,San Francisco,Toys,COD,2022-01-28,1,1,2022-01-29,137.35,0.01,1.37,135.98,0,Not Returned,0
23,1769,Phoenix,Beauty,Credit Card,2022-09-24,2,1,2022-09-25,221.61,0.18,39.89,181.72,0,Not Returned,-1
24,3391,Houston,Beauty,Debit Card,2022-08-31,8,9,2022-09-09,87.24,0.18,15.7,71.54,0,Not Returned,1
